state_name,N_state,n,f_s,DO_s,rho_hat_trump,DI_trump,n_star_eff_trump,n_eff_trump,Me95_star_trump,Me95_star_upper_trump,rho_hat_harris,DI_harris,n_star_eff_harris,n_eff_harris,Me95_star_harris,Me95_star_upper_harris
New Jersey,4272725,904,0.00021157458062477693,4725.465707964601,-0.001401913101832558,1.9653603450897845e-06,107.67458213428189,107.67189395355804,0.09607137877078609,0.09637034250491824,0.0013255180353857665,1.756998062132942e-06,120.44370364525682,120.4403367439805,0.09104773968364978,0.09111879110024164
New Mexico,923403,224,0.00024258097493727007,4121.334821428572,-0.002331585812884,5.436292402841942e-06,44.63333035914252,44.631221408947404,0.1491660853541581,0.14968226741768745,0.0023453408722940937,5.5006238072532205e-06,44.11133050491326,44.10927115333397,0.15046200034004656,0.1505653095384581
New York,8262600,1732,0.00020961924817853943,4769.554272517321,-0.002382397110903933,5.675815994043406e-06,36.939745375894915,36.939584700147684,0.16305556314887593,0.16453301317490018,0.0021675317833641915,4.698194031893953e-06,44.62633858820752,44.62610296337836,0.1486464398498055,0.14969399259133673
North Carolina,5699141,1049,0.00018406282631014043,5431.927550047664,-0.001720324158545664,2.959515210475847e-06,62.20502297793731,62.204354943992946,0.1267720290225285,0.12679066293134075,0.0016367392184996464,2.6789152693748334e-06,68.72061754837317,68.71980097826608,0.12049647856644898,0.12063031814581489
North Dakota,368155,65,0.00017655607013350355,5662.923076923077,-0.006746437265286543,4.551441577444697e-05,3.8798091698923054,3.87977882111808,0.4775985867156704,0.5076855674743841,0.006290555900079737,3.957109353202799e-05,4.4625314066962645,4.462489436461456,0.4359380403111984,0.4733794025320523
Ohio,5767788,1360,0.0002357923002717853,4240.020588235294,-0.004060613367421347,1.6488580919680932e-05,14.30371191688283,14.303678924675634,0.2630100981928071,0.2644086280177536,0.004040271336227876,1.6323792470344588e-05,14.448107682194053,14.448073995226265,0.26113718322599677,0.26308404769643734
Oklahoma,1566173,346,0.00022092067734535073,4525.5115606936415,-0.0041695953734301175,1.738552557812984e-05,12.709969168468723,12.709874139165231,0.26543860019686644,0.28049669693699,0.003652821226722849,1.3343102914397018e-05,16.560577812618956,16.56041327794497,0.2290650319013879,0.24573230657491646
Oregon,2244493,675,0.0003007360682345634,3324.1748148148154,-0.003319000371962504,1.101576346908724e-05,27.308732478588304,27.30841238401197,0.18820977783797452,0.1913591479127582,0.0034576691236179896,1.1955475768421196e-05,25.16223891476596,25.16196804301261,0.19824247036503892,0.1993541859317595
Pennsylvania,7034206,1851,0.0002631427058007684,3799.2193408968124,-0.0018476136140715374,3.413676066902488e-06,77.10513913790601,77.1043049236836,0.11387969163210054,0.11388285269052797,0.001600190216133996,2.5606087278109647e-06,102.79273254499645,102.79124504190058,0.09859693792579804,0.09863221686228389
Rhode Island,513086,121,0.00023582791189001454,4239.380165289256,-0.0024610620511194012,6.056826419460034e-06,38.945071804399966,38.942191844421096,0.15806478143290018,0.16024103652703578,0.0027466998547034703,7.544360091828065e-06,31.266209054385303,31.264364810641457,0.17772323896018197,0.17883906321912932
South Carolina,2548140,522,0.00020485530622336293,4880.494252873563,-0.0007202367345375768,5.187409537773518e-07,394.9895974599523,394.92853417643215,0.049630061467417885,0.05031612309827254,0.000576592942872429,3.324594217702882e-07,616.3076366657494,616.158850729718,0.03952548124126431,0.040281091063469956
South Dakota,428922,104,0.00024246832757471054,4123.25,-0.004965683448910428,2.4658012114782966e-05,9.835631988256408,9.835429381635462,0.30713509682413115,0.3188591357516339,0.005172688991458545,2.6756711402356423e-05,9.064160728721482,9.063990316280139,0.31521815155203053,0.3321514869600407
Tennessee,3063942,763,0.0002490256016595614,4014.6513761467895,-0.003184058831364394,1.0138230641589591e-05,24.569142255935752,24.56895326105808,0.19344623855342924,0.2017460324193544,0.003349504389660269,1.1219179656353412e-05,22.20194688794767,22.201793255341357,0.20173780566989086,0.21222887420569636
Texas,11388674,2257,0.00019817934906205938,5044.934426229508,-0.0021003501505270266,4.4114707548189034e-06,44.93255037109245,44.932377041511586,0.14805395801961505,0.14918304421512038,0.0019530356229143847,3.8143481443725787e-06,51.96658102484417,51.966348465079776,0.13713185861557595,0.13871963187368205
Utah,1488494,137,9.203933640310274e-05,10863.919708029196,-0.002045605863815585,4.184503350076705e-06,21.997307857483253,21.99699755859056,0.20943098133018168,0.21321376225096847,0.0019096265251789765,3.646673465667132e-06,25.24158230478358,25.241171227318137,0.19301895878908182,0.19904061829789485
Vermont,369690,77,0.00020828261516405637,4800.168831168831,-0.003955709856020611,1.5647640465018603e-05,13.313573143189783,13.313129710476192,0.25630916461071446,0.27406443775418665,0.0030766582211571238,9.465825809813717e-06,22.00822305787403,22.006972473229787,0.20490477630784376,0.2131608829347947
Virginia,4503288,952,0.00021140109182446248,4729.344537815126,-0.0006578176947038708,4.32724119465515e-07,488.6387935963882,488.58588703446543,0.045097416701348925,0.04523827417989212,0.0005697084226372254,3.245676868237954e-07,651.469016416537,651.3749297616379,0.039152904882541195,0.039178979272454346
Washington,3924243,864,0.00022016985186697153,4540.947916666667,-0.0013754931317959992,1.891981355617966e-06,116.39561703489724,116.39219442510566,0.09042381974476767,0.09268974482198977,0.0016154038657009598,2.6095296493216045e-06,84.39004989382832,84.38825664536606,0.10771240359818024,0.10885650290435953
West Virginia,762584,236,0.0003094741038364298,3230.2881355932204,-0.004573654290531551,2.0918313569297666e-05,14.798989731206413,14.798721947355753,0.23832004191991646,0.2599464947629049,0.004092856147416767,1.675147144344722e-05,18.480162101060582,18.479738502810143,0.20912639221117432,0.23262003236500547
Wisconsin,3422918,769,0.00022466211577373458,4450.128738621586,-0.0028614209373423803,8.187729780661347e-06,27.445043522648078,27.444831487193188,0.19087711040962788,0.19088334553069025,0.0028942159474387337,8.376485950408688e-06,26.826595485541137,26.82639307502336,0.19300947533133564,0.1930710772139982
Wyoming,269048,51,0.00018955725372424252,5274.450980392156,-0.0021044541620196177,4.4287273200416914e-06,42.80985908325256,42.8032074719255,0.13784244928086298,0.15283685797308,0.001739600582336332,3.026210186064905e-06,62.65037153142054,62.63601889475813,0.11061383609076825,0.126339215142262
