caseid,state,X_trump,X_harris,selfvoted_2024,validated_voter
1854305482,35,0.0,0.0,,0
1854339084,1,0.0,0.0,0.0,1
1855373476,18,0.0,0.0,0.0,1
1853620884,24,0.0,0.0,0.0,1
1854670744,42,0.0,0.0,0.0,1
1854437438,36,0.0,0.0,0.0,1
1854486194,27,0.0,0.0,0.0,0
1855332216,36,0.0,0.0,0.0,0
1855335904,45,0.0,0.0,,1
1855347856,18,0.0,0.0,,0
1854899840,35,0.0,0.0,0.0,1
1849874440,8,0.0,0.0,,0
1854397340,12,0.0,0.0,,1
1854610436,26,0.0,0.0,0.0,1
1855368768,12,0.0,0.0,0.0,1
1855373322,39,0.0,0.0,0.0,0
1851867592,24,0.0,0.0,0.0,1
1855298252,40,0.0,0.0,0.0,1
1855251796,26,0.0,0.0,0.0,1
1854958094,11,0.0,0.0,,0
1855396188,48,0.0,0.0,0.0,1
1855329874,28,0.0,0.0,0.0,1
1855346310,34,0.0,0.0,,0
1855369004,6,0.0,0.0,0.0,1
1855323032,55,0.0,0.0,0.0,1
1855351644,54,0.0,0.0,0.0,1
1855377626,37,0.0,0.0,0.0,1
1855347244,55,0.0,0.0,0.0,1
1855322472,29,0.0,0.0,0.0,1
1855278488,48,0.0,0.0,0.0,1
1855353404,12,0.0,0.0,0.0,1
1854271238,42,0.0,0.0,0.0,1
1855403354,48,0.0,0.0,,1
1851703938,51,0.0,0.0,0.0,0
1853979326,6,0.0,0.0,0.0,1
1847135124,42,0.0,0.0,0.0,1
1854546772,48,0.0,0.0,0.0,1
1842753510,2,0.0,0.0,0.0,1
1854697284,9,0.0,0.0,0.0,1
1854900392,48,0.0,0.0,0.0,1
1855386880,42,0.0,0.0,0.0,1
1854795780,4,0.0,0.0,0.0,1
1855421754,22,0.0,0.0,0.0,0
1855334748,42,0.0,0.0,0.0,1
1855344772,54,0.0,0.0,0.0,1
1855393478,32,0.0,0.0,0.0,1
1855422434,48,0.0,0.0,0.0,1
1855327058,16,0.0,0.0,0.0,0
1855426574,53,0.0,0.0,0.0,0
1854722890,19,0.0,0.0,0.0,1
1855335628,8,0.0,0.0,0.0,0
1855427364,36,0.0,0.0,0.0,1
1854265844,29,0.0,0.0,0.0,1
1854646474,55,0.0,0.0,0.0,1
1854303936,25,0.0,0.0,0.0,0
1854671690,20,0.0,0.0,0.0,1
1854510844,4,0.0,0.0,0.0,1
1855422018,37,0.0,0.0,0.0,1
1854436132,13,0.0,0.0,,0
1855012578,41,0.0,0.0,0.0,1
1855321672,9,0.0,0.0,0.0,1
1853971458,48,0.0,0.0,,1
1855427182,12,0.0,0.0,0.0,1
1854323144,51,0.0,0.0,0.0,1
1855426532,12,0.0,0.0,0.0,1
1854374470,48,0.0,0.0,0.0,1
1855426252,27,0.0,0.0,,0
1854721096,26,0.0,0.0,0.0,1
1855298164,32,0.0,0.0,,0
1855427524,26,0.0,0.0,0.0,1
1855445100,21,0.0,0.0,,0
1854745392,6,0.0,0.0,0.0,1
1854699806,6,0.0,0.0,0.0,1
1853666808,50,0.0,0.0,0.0,1
1855444908,6,0.0,0.0,0.0,1
1855330306,12,0.0,0.0,0.0,1
1854721778,54,0.0,0.0,0.0,1
1854511608,10,0.0,0.0,0.0,1
1854288252,12,0.0,0.0,0.0,0
1855298576,6,0.0,0.0,0.0,0
1855427528,9,0.0,0.0,0.0,1
1854674240,27,0.0,0.0,0.0,1
1854360680,41,0.0,0.0,0.0,1
1854148444,48,0.0,0.0,0.0,1
1855441806,45,0.0,0.0,0.0,1
1854508524,16,0.0,0.0,0.0,1
1854836338,55,0.0,0.0,0.0,1
1854289610,22,0.0,0.0,,0
1855449564,45,0.0,0.0,0.0,1
1855428528,36,0.0,0.0,0.0,0
