state_name,n,p_hat_trump,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s,bias_harris,p_hat_harris,DO_s,sigma_trump,rho_hat_trump,sigma_harris,rho_hat_harris,O_trump,O_harris,rho_lb_trump,rho_ub_trump,rho_lb_harris,rho_ub_harris,Z_nN_trump,Z_nN_harris,log10_N,log10_absZ_nN_trump,log10_absZ_nN_harris,color,Z_n_s_trump,Z_n_s_harris,cover_rate_H,cover_rate_T
Oklahoma,346,0.5289017341040463,0.6616210342024795,0.3189934956099997,1566173,-0.13271930009843325,0.13271930009843325,0.00022092067734535073,0.11453251595069397,0.43352601156069365,4525.5115606936415,0.47315815675450523,-0.0041695953734301175,0.4660865213332314,0.003652821226722849,1.9552664352026567,0.46841475603193033,-0.020785914340481625,0.010630732449681334,-0.01017375897384771,0.021719552688801713,-5.218114924544185,4.571388648720103,6.194839732687194,0.7175136398362115,0.660048145555215,red,-4.945712695350623,4.299018202898981,False,False
Oregon,675,0.31555555555555553,0.4096604444745428,0.5527306166693324,2244493,-0.09410488891898727,0.09410488891898727,0.0003007360682345634,0.09912123518251947,0.6518518518518519,3324.1748148148154,0.49177104907412234,-0.003319000371962504,0.4972117074905537,0.0034576691236179896,0.693940361339851,1.2357890731382726,-0.014448379709154484,0.020820780162228554,-0.01928103078433918,0.015602202029004203,-4.972403139354105,5.180151515005639,6.351118255286296,0.6965663319767167,0.7143424626735221,blue,-5.260863773060739,5.405826403551256,False,False
Pennsylvania,1851,0.4467855213398163,0.5037253671558666,0.4866280572391539,7034206,-0.05693984581605027,0.05693984581605027,0.0002631427058007684,0.04929846896289902,0.5359265262020529,3799.2193408968124,0.49998612144693977,-0.0018476136140715374,0.4998211591627556,0.001600190216133996,1.015013328948597,0.9479054399080186,-0.016345141662607362,0.016103376375893017,-0.015795570784894342,0.016663656647468012,-4.900254815638246,4.244036606370346,6.847215082683405,0.6902186641403965,0.6277791211944493,purple,-4.927460843954711,4.252953574586924,False,False
Rhode Island,121,0.33884297520661155,0.4178753659230616,0.5557664796934627,513086,-0.07903239071645007,0.07903239071645007,0.00023582791189001454,0.08886161948009097,0.6446280991735537,4239.380165289256,0.4932094326731079,-0.0024610620511194012,0.49688036763651533,0.0027466998547034703,0.717845185482791,1.2510683104461897,-0.013012604020301034,0.018127312522893544,-0.017178661810964446,0.013731194106289632,-1.7628575618661457,1.9674597829982707,5.710190164712495,0.24621722290929776,0.2939058636738261,blue,-1.8367339481808673,2.0422586783503123,False,True
South Carolina,522,0.5574712643678161,0.5822862951015251,0.4036089068889464,2548140,-0.024815030733708943,0.024815030733708943,0.00020485530622336293,0.019762740620632158,0.42337164750957856,4880.494252873563,0.4931824871571016,-0.0007202367345375768,0.49062078754253396,0.000576592942872429,1.3939841768970673,0.6767520701617699,-0.01690040138375535,0.012123811492161065,-0.011775595898357633,0.017400162360113373,-1.1497060734019229,0.9204090495699835,6.406223285341949,0.06058682555758974,-0.03601911994799833,red,-1.141479424145067,0.9138471054475101,True,True
South Dakota,104,0.4807692307692308,0.6343367791812964,0.3423909242239847,428922,-0.1535675484120656,0.1535675484120656,0.00024246832757471054,0.1576090757760153,0.5,4123.25,0.48161564525998907,-0.004965683448910428,0.47450961974761935,0.005172688991458545,1.7347568556691173,0.5206602780229946,-0.02051159687047676,0.011823903046381206,-0.011237181334821603,0.021582559317738698,-3.2521284129451016,3.3877006082902485,5.632378322372359,0.5121676857327333,0.5299050221094318,red,-3.1344949755105147,3.2146070116049033,False,False
Tennessee,763,0.54521625163827,0.6419393709149847,0.3447405336001791,3063942,-0.09672311927671462,0.09672311927671462,0.0002490256016595614,0.10086890283494543,0.4456094364351245,4014.6513761467895,0.4794300939493248,-0.003184058831364394,0.47528359754281746,0.003349504389660269,1.7928231108664203,0.5261130151911886,-0.02113220436279325,0.011787110638361112,-0.011447630519755997,0.02175888105637521,-5.5734137232240935,5.863011558530917,6.486280539903659,0.7461212826119539,0.7681207503678517,red,-5.36544439132502,5.6057595013726855,False,False
Texas,2257,0.4873726185201595,0.561399597529967,0.4245665474312461,11388674,-0.07402697900980754,0.07402697900980754,0.00019817934906205938,0.06856592930778799,0.4931324767390341,5044.934426229508,0.49621576901904085,-0.0021003501505270266,0.49427704198511746,0.0019530356229143847,1.2799796679810942,0.7378204126575664,-0.015928459393455184,0.012444306571352863,-0.01209337640140189,0.016390677452040908,-7.088074341857291,6.590930414168859,7.056473161479745,0.8505282639141356,0.8189467264631108,red,-7.035975897188913,6.515460418910974,False,False
Utah,137,0.48905109489051096,0.5937665855556018,0.3779430753499846,1488494,-0.10471549066509084,0.10471549066509084,9.203933640310274e-05,0.09650947939454091,0.4744525547445255,10863.919708029196,0.49112913519078055,-0.002045605863815585,0.4848732897829911,0.0019096265251789765,1.4616389603688584,0.6075699190433813,-0.011599166478959299,0.00793572612215546,-0.007478334006398879,0.012308598190926757,-2.4957171204016144,2.3298171445268547,6.172747088380027,0.39719535824964486,0.36732183680316194,red,-2.4519147227979055,2.262183847445939,False,False
Vermont,77,0.19480519480519481,0.322959777110552,0.6378073521058184,369690,-0.1281545823053572,0.1281545823053572,0.00020828261516405637,0.10245238815392188,0.7402597402597403,4800.168831168831,0.4676074844132144,-0.003955709856020611,0.480634095446404,0.0030766582211571238,0.4770171197986375,1.760961620325768,-0.009968704594350083,0.02089800172907454,-0.01915343574444248,0.010876691191542949,-2.4051529173572854,1.8706714510582083,5.5678377032007615,0.3811426936217973,0.2719975183808805,blue,-2.8394142197668555,2.0502449379729413,False,False
Virginia,952,0.4380252100840336,0.4605739184347081,0.5182386736091495,4503288,-0.022548708350674462,0.022548708350674462,0.00021140109182446248,0.019576452441270598,0.5378151260504201,4729.344537815126,0.4984431603426884,-0.0006578176947038708,0.49966724005579843,0.0005697084226372254,0.8538221160872074,1.0757166364755173,-0.013436409241436036,0.015736778174604782,-0.015081636378052252,0.014020082860729746,-1.3959516115451496,1.2089753697630357,6.653529722404009,0.14487036441669227,0.0824174531478169,blue,-1.4022717131821878,1.211513052609703,True,True
Washington,864,0.3449074074074074,0.3901193172797912,0.5723012056083173,3924243,-0.045211909872383826,0.045211909872383826,0.00022016985186697153,0.05385620179909012,0.6261574074074074,4540.947916666667,0.48777682967207536,-0.0013754931317959992,0.49474491979967194,0.0016154038657009598,0.6396649842060399,1.3380940351312027,-0.011868696611444522,0.018554551061093476,-0.017166037503606773,0.012828722834807054,-2.7248105803767273,3.200066538388399,6.59375589225826,0.43533631697727065,0.5051590086181831,blue,-2.795806558106479,3.2719483664886124,False,False
West Virginia,236,0.5805084745762712,0.6996684955362295,0.2810300242333959,762584,-0.11916002095995826,0.11916002095995826,0.0003094741038364298,0.10456319610558718,0.3855932203389831,3230.2881355932204,0.45840210720534297,-0.004573654290531551,0.44950211313493604,0.004092856147416767,2.3296540161028347,0.3908786649035611,-0.02685499541523539,0.011527460828779978,-0.011000194190036597,0.028142222069732572,-3.993989273472792,3.5741274946143586,5.882287688972524,0.6014068941656723,0.5531700403967956,red,-3.709545433010627,3.30021441342963,False,False
Wisconsin,769,0.40052015604681407,0.495958711251628,0.4873704248830968,3422918,-0.09543855520481392,0.09543855520481392,0.00022466211577373458,0.0965047376656678,0.5838751625487646,4450.128738621586,0.4999836677185089,-0.0028614209373423803,0.4998404683820294,0.0028942159474387337,0.9839644535533694,0.9507263110442932,-0.014869741451840108,0.015112071780785712,-0.01461643531837157,0.015373967406368129,-5.293951214134108,5.354625678786058,6.534396495230755,0.7237799347873964,0.7287291163780126,purple,-5.40116624587424,5.4292518066914255,False,False
Wyoming,51,0.6470588235294118,0.7159800481698433,0.2584185721506943,269048,-0.06892122464043149,0.06892122464043149,0.00018955725372424252,0.055306918045384124,0.3137254901960784,5274.450980392156,0.45094635910776815,-0.0021044541620196177,0.43776524955538754,0.001739600582336332,2.5208794084930966,0.34846958465524935,-0.021861874918138423,0.008672320795863367,-0.008128189284222645,0.02332539091543409,-1.0915749169320705,0.9023263112257142,5.429829768015324,0.03805354755195474,-0.044636378713977104,red,-1.029947356703412,0.851217823988269,True,True
